Frequency (Hz),Magnitude
49.49903322200738,103.21254732409773
149.49708013515362,145.65158407313152
249.49512704829985,77.82342547893595
349.49317396144613,78.33243506001257
449.4912208745923,69.95979322949164
549.4892677877385,116.15652803204084
649.4873147008849,93.36048458283105
749.4853616140308,44.69285441507193
849.4834085271774,82.38832778267131
949.4814554403234,72.8911865365064
1049.4795023534696,115.0931816438368
1149.477549266616,51.500829669724574
1249.4755961797619,51.368989005273825
1349.4736430929086,90.46895020976594
1449.4716900060548,96.47643112538394
1549.469736919201,96.31471830488188
1649.4677838323469,68.71245719600472
1749.4658307454933,75.0360738671944
1849.4638776586396,78.79364623152016
1949.4619245717854,95.72109619217949
2049.4599714849323,93.80236442325624
2149.4580183980784,106.24519326885493
2249.456065311225,100.83590118952044
2349.454112224371,85.86622724444246
2449.4521591375174,74.40330262699108
2549.4502060506634,102.09560328094385
2649.44825296381,69.55761203743477
2749.4462998769554,85.32304427036655
2849.4443467901024,92.65906258888934
2949.4423937032484,85.44212209510715
3049.4404406163944,78.76535755673439
3149.4384875295405,67.29204313351225
3249.436534442687,74.7539307656903
3349.4345813558334,69.3301361617311
3449.432628268979,77.5443486308164
3549.4306751821255,83.07005017590465
3649.428722095271,85.2859203781109
3749.4267690084175,87.47218083259935
3849.4248159215645,89.38727608488016
3949.4228628347105,58.691174037248636
4049.420909747857,86.09930657138585
4149.418956661003,82.17541020326014
4249.417003574149,70.13236027191314
4349.415050487295,58.150946677154835
4449.413097400442,58.48054916003834
4549.411144313588,65.37256109634224
4649.409191226734,56.51369404807617
4749.40723813988,50.790452373426554
4849.405285053027,49.14644162387329
4949.403331966172,60.55510468799973
5049.401378879319,49.62132386809233
5149.399425792465,58.99613302052909
5249.397472705612,48.19634972470123
5349.395519618757,42.89672000240561
5449.393566531906,42.82472968548193
5549.391613445049,45.709553429391605
5649.389660358196,42.29975482033287
5749.387707271343,48.39669187510379
5849.38575418449,47.38245007111362
5949.383801097635,41.24078033818306
6049.381848010782,37.249108972743585
6149.379894923927,32.99638570901279
6249.377941837073,39.745860779574606
6349.37598875022,40.26112672823523
6449.374035663366,42.289696904823614
6549.372082576512,41.16943567739071
6649.370129489659,38.82521387013212
6749.368176402806,30.61675777242634
6849.36622331595,30.543362611232773
6949.364270229097,35.418739920365944
7049.362317142243,34.572905394605506
7149.360364055389,30.725320047616766
7249.358410968536,30.15557041648465
7349.356457881682,28.65339186482983
7449.354504794827,31.639662193829448
7549.352551707974,30.692056117536026
7649.350598621121,30.906706146899246
7749.348645534266,31.410752432064015
7849.346692447413,32.52146056690074
7949.34473936056,37.93198264248384
8049.342786273704,38.10128534371852
8149.340833186852,31.819988058664386
8249.338880099998,37.69011833094507
